"統計名：","人口推計 各月1日現在人口 概算値"
"表番号：","001"
"表題：","[概算値] 年齢（５歳階級），男女，月別人口－総人口（各月１日現在）-令和２年国勢調査基準-"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","該当数値がないもの"
"-","該当数値がないもの　"

"","","","","","","","","","","","","","","","","","","/男女別 コード","000","001","002"
"","","","","","","","","","","","","","","","","","","/男女別 補助コード","-","-","-"
"表章項目 コード","表章項目 補助コード","表章項目","人口 コード","人口 補助コード","人口","概算値 コード","概算値 補助コード","概算値","全国 コード","全国 補助コード","全国","時間軸（年月日現在） コード","時間軸（年月日現在） 補助コード","時間軸（年月日現在）","年齢5歳階級 コード","年齢5歳階級 補助コード","年齢5歳階級","/男女別","男女計","男","女"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000303","","2022年3月","01010","","45～49歳","","961","486","474"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000303","","2022年3月","01011","","50～54歳","","936","471","464"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000303","","2022年3月","01012","","55～59歳","","786","393","394"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000303","","2022年3月","01013","","60～64歳","","739","366","374"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000303","","2022年3月","01014","","65～69歳","","771","375","396"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000303","","2022年3月","01015","","70～74歳","","959","452","506"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000303","","2022年3月","01016","","75～79歳","","676","302","374"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000303","","2022年3月","01017","","80～84歳","","568","236","331"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000303","","2022年3月","01018","","85～89歳","","392","141","251"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000303","","2022年3月","01019","","90～94歳","","194","55","140"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000303","","2022年3月","01020","","95～99歳","","56","11","45"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000303","","2022年3月","01021","","100歳以上","","9","1","8"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000303","","2022年3月","02000","","（再掲）15歳未満","","1,467","751","715"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000303","","2022年3月","01023","","（再掲）15～64歳","","7,434","3,764","3,669"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000303","","2022年3月","01024","","（再掲）65歳以上","","3,626","1,574","2,052"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000303","","2022年3月","01026","","（再掲）うち75歳以上","","1,896","747","1,149"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000303","","2022年3月","01027","","（再掲）うち85歳以上","","652","208","444"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000404","","2022年4月","01000","","総数","","12,519","6,086","6,433"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000404","","2022年4月","01001","","0～4歳","","433","221","211"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000404","","2022年4月","01002","","5～9歳","","499","256","243"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000404","","2022年4月","01003","","10～14歳","","533","273","260"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000404","","2022年4月","01004","","15～19歳","","556","285","270"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000404","","2022年4月","01005","","20～24歳","","625","320","305"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000404","","2022年4月","01006","","25～29歳","","638","328","311"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000404","","2022年4月","01007","","30～34歳","","649","332","317"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000404","","2022年4月","01008","","35～39歳","","729","371","359"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000404","","2022年4月","01009","","40～44歳","","806","409","397"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000404","","2022年4月","01010","","45～49歳","","958","485","473"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000404","","2022年4月","01011","","50～54歳","","934","471","464"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000404","","2022年4月","01012","","55～59歳","","790","395","395"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000404","","2022年4月","01013","","60～64歳","","740","366","374"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000404","","2022年4月","01014","","65～69歳","","767","373","394"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000404","","2022年4月","01015","","70～74歳","","956","451","505"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000404","","2022年4月","01016","","75～79歳","","679","304","375"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000404","","2022年4月","01017","","80～84歳","","568","237","332"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000404","","2022年4月","01018","","85～89歳","","393","142","251"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000404","","2022年4月","01019","","90～94歳","","197","55","141"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000404","","2022年4月","01020","","95～99歳","","57","11","46"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000404","","2022年4月","01021","","100歳以上","","9","1","8"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000404","","2022年4月","02000","","（再掲）15歳未満","","1,465","751","715"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000404","","2022年4月","01023","","（再掲）15～64歳","","7,426","3,761","3,666"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000404","","2022年4月","01024","","（再掲）65歳以上","","3,627","1,575","2,053"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000404","","2022年4月","01026","","（再掲）うち75歳以上","","1,904","750","1,153"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000404","","2022年4月","01027","","（再掲）うち85歳以上","","656","210","447"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000505","","2022年5月","01000","","総数","","12,505","6,079","6,426"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000505","","2022年5月","01001","","0～4歳","","432","221","211"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000505","","2022年5月","01002","","5～9歳","","499","256","243"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000505","","2022年5月","01003","","10～14歳","","533","273","260"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000505","","2022年5月","01004","","15～19歳","","553","284","269"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000505","","2022年5月","01005","","20～24歳","","622","318","304"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000505","","2022年5月","01006","","25～29歳","","636","327","310"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000505","","2022年5月","01007","","30～34歳","","647","331","316"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000505","","2022年5月","01008","","35～39歳","","728","370","358"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000505","","2022年5月","01009","","40～44歳","","803","407","396"
